"Tm","Year","Week","Loc","Tm.Score","Total_Yards.Tot","Total_Yards.Ply","Total_Yards.Y.P","Total_Yards.TO","Pass_Stats.Cmp","Pass_Stats.Att","Pass_Stats.Cmp.","Pass_Stats.Yds","Pass_Stats.TD","Pass_Stats.Int","Pass_Stats.Sk","Pass_Stats.SkYds","Pass_Stats.Rate","Rush_Stats.Yds","Rush_Stats.Y.A","Rush_Stats.TD","Rush_Stats.Att","Penalties.Pen","Penalties.Yds","Opp.Total_Yards.Tot","Opp.Total_Yards.Ply","Opp.Total_Yards.Y.P","Opp.Total_Yards.TO","Opp.Pass_Stats.Cmp","Opp.Pass_Stats.Att","Opp.Pass_Stats.Cmp.","Opp.Pass_Stats.Yds","Opp.Pass_Stats.TD","Opp.Pass_Stats.Int","Opp.Pass_Stats.Sk","Opp.Pass_Stats.SkYds","Opp.Pass_Stats.Rate","Opp.Rush_Stats.Yds","Opp.Rush_Stats.Y.A","Opp.Rush_Stats.TD","Opp.Rush_Stats.Att","Opp.Penalties.Pen","Opp.Penalties.Yds"
"PIT",2019,10,1,17,273,68,4.0147,3,22,38,57.9,231,1,0,3,11,85.6,42,1.56,0,33,13,107,306,69,4.4348,5,22,42,52.4,218,0,3,4,25,40.1,88,3.83,0,3,10,95
"TEN",2020,11,0,30,423,68,6.2206,2,23,32,71.9,250,2,1,2,16,104.4,173,5.09,1,25,4,44,306,63,4.8571,2,17,29,58.6,177,1,1,1,9,74.8,129,3.91,1,28,6,81
"DEN",2018,1,1,27,470,72,6.5278,4,25,39,64.1,324,3,3,1,5,84.2,146,4.56,0,27,7,60,306,55,5.5636,4,19,33,57.6,242,3,2,6,56,92.7,64,4,0,9,7,45
"PHI",2021,2,1,11,328,55,5.9636,0,12,24,50,177,0,0,2,13,76.7,151,5.21,1,31,8,57,306,68,4.5,0,22,30,73.3,189,1,0,0,0,100.6,117,3.08,1,23,5,60
"MIA",2019,7,0,21,381,66,5.7727,3,23,35,65.7,272,1,1,1,10,88,109,3.63,2,29,6,55,305,51,5.9804,0,16,26,61.5,188,2,0,2,14,111.4,117,5.09,0,3,9,83
"TAM",2018,7,1,26,456,88,5.1818,5,32,52,61.5,342,0,2,4,23,66.6,114,3.56,3,27,8,65,305,62,4.9194,2,23,34,67.6,186,2,0,5,29,104.4,119,5.17,1,3,14,114
"CHI",2018,10,1,34,402,53,7.5849,0,23,30,76.7,348,3,0,1,7,148.6,54,2.45,2,4,6,46,305,72,4.2361,4,25,42,59.5,229,2,2,6,45,74.9,76,3.17,1,1,6,41
"GNB",2019,17,0,23,432,86,5.0233,2,27,55,49.1,312,2,1,1,11,72,120,4,0,29,9,97,305,56,5.4464,2,13,30,43.3,134,1,1,1,7,55,171,6.84,1,2,4,50
"NYG",2018,1,1,15,324,62,5.2258,3,23,37,62.2,210,0,1,2,14,67.8,114,4.96,1,3,6,43,305,62,4.9194,2,18,33,54.5,168,1,1,1,8,67.2,137,4.89,0,32,11,119
"DAL",2018,7,0,17,323,61,5.2951,3,22,35,62.9,250,1,0,4,23,96.5,73,3.32,1,4,8,65,305,58,5.2586,0,14,25,56,175,1,0,1,3,91.7,130,4.06,0,27,5,35
"LVR",2020,12,0,6,243,58,4.1897,6,25,39,64.1,203,0,1,5,37,70.5,40,2.86,0,13,11,141,304,72,4.2222,2,22,39,56.4,179,2,1,1,6,75.3,125,3.91,1,27,6,49
"ATL",2020,8,0,25,401,68,5.8971,2,21,30,70,270,0,1,2,11,85.6,131,3.64,2,21,6,63,304,52,5.8462,2,16,27,59.3,157,1,1,3,22,76,147,6.68,1,4,6,30
"NYG",2020,2,0,13,295,62,4.7581,3,25,40,62.5,220,0,1,4,21,68.9,75,4.17,1,8,3,10,304,64,4.75,3,18,28,64.3,169,2,2,4,21,78,135,4.22,0,27,5,48
"PHI",2020,3,1,23,378,86,4.3953,3,29,47,61.7,206,1,2,3,19,62.8,172,4.78,1,21,11,93,304,70,4.3429,0,31,44,70.5,256,2,0,8,56,105.5,48,2.67,0,8,9,73
"SFO",2021,5,0,10,338,59,5.7288,2,15,29,51.7,186,0,1,2,6,58.4,152,5.43,1,32,7,60,304,60,5.0667,2,22,31,71,210,1,0,2,29,104.1,94,3.48,1,33,6,62
"BAL",2020,2,0,33,407,65,6.2615,0,18,24,75,177,1,0,4,27,113.9,230,6.22,1,22,3,21,304,57,5.3333,3,25,36,69.4,253,1,1,4,22,89.5,51,3,0,10,4,22
"PIT",2019,17,0,10,168,50,3.36,3,9,25,36,77,0,0,2,18,47.9,91,3.96,1,3,6,47,304,68,4.4706,3,11,21,52.4,81,0,1,3,15,44.9,223,5.07,1,16.884236453202,6,35
"IND",2018,7,1,37,376,60,6.2667,0,17,23,73.9,156,4,0,0,0,131.5,220,5.95,1,22,4,35,303,55,5.5091,6,20,31,64.5,168,0,3,2,7,39.8,135,6.14,0,4,7,59
"CHI",2020,6,0,23,261,64,4.0781,2,23,39,59,198,1,1,0,0,70.2,63,2.52,1,2,10,92,303,62,4.8871,4,16,29,55.2,191,0,2,4,25,50.4,112,3.86,1,31,8,69
"SEA",2018,3,1,24,295,67,4.403,0,16,26,61.5,182,2,0,2,10,109.8,113,2.9,1,24,10,67,303,58,5.2241,4,19,34,55.9,137,1,2,5,31,54.5,166,8.74,0,6,7,55
"BUF",2019,11,0,37,424,67,6.3284,0,21,33,63.6,256,3,0,0,0,117.7,168,4.94,1,25,5,50,303,65,4.6615,2,32,45,71.1,280,0,0,7,43,91.2,23,1.77,2,12,6,44
"MIA",2020,15,1,22,383,70,5.4714,2,20,26,76.9,133,0,1,2,12,73.4,250,5.95,3,16.884236453202,7,40,303,52,5.8269,2,17,27,63,186,0,0,3,23,86.8,117,5.32,0,4,2,20
"WAS",2018,8,0,20,360,65,5.5385,2,20,32,62.5,178,1,0,0,0,87.8,182,5.52,1,28,8,90,303,68,4.4559,3,30,47,63.8,266,1,2,7,50,72.7,37,2.64,0,13,11,102
"NYJ",2020,15,0,23,289,64,4.5156,0,22,31,71,196,1,0,2,11,99.8,93,3,1,30,6,61,303,56,5.4107,2,22,34,64.7,189,2,1,3,20,89,114,6,0,6,5,43
"MIN",2020,14,0,14,335,76,4.4079,2,24,37,64.9,173,1,0,6,52,90.5,162,4.91,1,28,5,71,303,49,6.1837,0,15,23,65.2,196,2,0,0,0,120.9,107,4.12,1,34,5,34
"LAC",2020,3,1,16,436,74,5.8919,5,35,49,71.4,319,1,1,2,11,88,117,5.09,1,3,8,60,302,51,5.9216,0,22,28,78.6,221,1,0,2,14,113.5,81,3.86,0,5,3,30
"CLE",2019,9,0,19,351,73,4.8082,0,27,42,64.3,261,1,0,2,12,90.7,90,3.1,0,31,5,40,302,43,7.0233,2,12,20,60,175,2,0,3,18,125.6,127,6.35,1,7,7,55
"CLE",2021,2,1,31,355,57,6.2281,3,19,21,90.5,199,1,1,2,14,105,156,4.59,3,25,5,62,302,58,5.2069,3,18,29,62.1,220,2,1,1,7,95,82,2.93,1,32,9,78
"NYJ",2020,6,0,0,263,69,3.8116,2,21,44,47.7,148,0,1,3,38,50,115,5.23,0,4,7,80,302,56,5.3929,3,20,29,69,192,3,2,2,8,94,110,4.4,0,2,5,25
"JAX",2018,2,1,31,480,69,6.9565,3,29,45,64.4,376,4,1,0,0,111,104,4.33,0,1,7,71,302,61,4.9508,2,24,35,68.6,220,2,0,2,14,106.1,82,3.42,0,1,2,25
"MIN",2019,3,1,34,385,59,6.5254,0,15,21,71.4,174,1,0,0,0,112,211,5.55,3,23,6,59,302,58,5.2069,2,27,34,79.4,214,2,1,4,28,103.7,88,4.4,0,7,7,84
"WAS",2020,15,1,15,353,79,4.4684,3,38,55,69.1,269,1,2,4,26,72.9,84,4.2,1,7,6,41,302,53,5.6981,2,18,27,66.7,121,1,1,0,0,73.2,181,6.96,1,34,4,45
"SEA",2019,10,0,27,336,73,4.6027,5,24,34,70.6,189,1,1,5,43,86.9,147,4.32,1,25,9,75,302,78,3.8718,4,24,46,52.2,215,1,1,5,33,66.2,87,3.22,0,33,5,40
"TEN",2019,17,0,35,467,60,7.7833,0,14,21,66.7,222,2,0,0,0,133.4,245,6.28,3,24,5,37,301,65,4.6308,2,21,36,58.3,192,0,1,4,33,65.2,109,4.36,2,2,5,35
"TAM",2021,5,1,45,558,71,7.8592,0,33,44,75,437,5,0,2,15,145.3,121,4.84,1,2,6,47,301,51,5.902,3,27,39,69.2,262,2,1,3,13,95.6,39,4.33,0,20,5,37
"NYG",2018,15,1,0,260,63,4.127,3,21,44,47.7,213,0,1,3,16,54.1,47,2.94,0,9,10,58,301,67,4.4925,0,13,21,61.9,86,0,0,1,8,72.3,215,4.78,2,16.884236453202,4,35
"PHI",2020,12,1,17,250,66,3.7879,2,26,46,56.5,180,2,1,6,41,74.6,70,5,0,13,9,79,301,63,4.7778,0,22,31,71,225,1,0,2,5,102.9,76,2.53,1,29,8,83
"CAR",2018,9,1,42,407,59,6.8983,0,19,25,76,228,2,0,2,19,133.2,179,5.59,4,27,9,84,301,65,4.6308,3,24,41,58.5,219,4,2,3,24,87.8,82,3.9,0,5,8,49
"WAS",2020,3,0,20,309,62,4.9839,6,21,37,56.8,206,2,3,3,18,58.8,103,4.68,1,4,4,40,300,62,4.8387,0,16,23,69.6,142,2,0,2,14,117.3,158,4.27,2,22,6,50
"MIA",2019,10,0,16,229,62,3.6935,3,21,33,63.6,159,0,1,3,10,63.8,70,2.69,1,34,4,30,300,69,4.3478,4,18,39,46.2,191,1,3,1,13,38.8,109,3.76,0,31,3,25
"OAK",2018,16,1,27,273,57,4.7895,0,19,26,73.1,159,0,0,1,8,89.7,114,3.8,2,29,6,50,300,62,4.8387,3,23,37,62.2,200,2,2,1,2,72.1,100,4.17,0,1,11,91
"ATL",2018,14,0,20,344,68,5.0588,3,28,42,66.7,237,3,1,2,25,97.5,107,4.46,0,1,13,101,300,61,4.918,0,21,32,65.6,162,2,0,4,34,103.1,138,5.52,1,2,6,37
"CHI",2019,17,0,21,337,75,4.4933,2,26,37,70.3,179,0,0,4,28,84,158,4.65,1,25,3,34,300,47,6.383,4,12,21,57.1,126,0,2,0,0,35.1,174,6.69,1,34,3,40
"NOR",2021,3,0,28,252,62,4.0645,0,13,21,61.9,110,2,0,3,18,110.8,142,3.74,1,23,2,15,300,70,4.2857,4,30,51,58.8,251,1,3,2,19,55.2,49,2.88,0,10,4,30
"DAL",2020,5,1,37,402,64,6.2813,3,24,33,72.7,276,1,1,2,12,96.5,126,4.34,2,31,3,25,300,62,4.8387,2,20,33,60.6,211,0,0,2,11,80.6,89,3.3,2,33,8,81
"PHI",2018,1,1,18,232,64,3.625,3,20,35,57.1,119,0,1,2,13,53.5,113,4.19,2,33,11,101,299,65,4.6,2,21,43,48.8,225,0,1,4,26,57.4,74,4.11,1,8,15,135
"NYJ",2020,16,1,23,333,69,4.8261,0,17,33,51.5,202,3,0,2,16,102.8,131,3.85,0,25,7,58,299,75,3.9867,3,28,53,52.8,254,0,0,4,31,68.5,45,2.5,2,8,6,51
"NWE",2020,6,1,12,288,56,5.1429,4,19,27,70.4,171,0,2,4,24,60,117,4.68,1,2,1,4,299,63,4.746,3,10,24,41.7,164,0,2,2,25,34.9,135,3.65,0,22,2,20
"GNB",2019,6,1,23,447,69,6.4783,4,24,39,61.5,277,2,1,1,6,90,170,5.86,0,31,6,48,299,55,5.4364,0,18,32,56.3,243,0,0,3,22,83.5,56,2.8,1,7,8,50
"NOR",2018,4,0,33,389,67,5.806,0,19,34,55.9,219,0,0,1,8,76.5,170,5.31,3,27,5,51,299,59,5.0678,3,31,41,75.6,234,1,0,3,21,99.1,65,4.33,1,14,6,67
"WAS",2019,3,1,15,356,68,5.2353,6,30,43,69.8,287,2,3,4,45,78.8,69,3.29,0,5,9,61,298,58,5.1379,2,25,31,80.6,208,3,1,3,23,116.5,90,3.75,0,1,9,59
"NWE",2020,12,1,20,179,51,3.5098,3,9,18,50,69,0,2,3,15,23.6,110,3.67,2,29,6,42,298,70,4.2571,2,23,34,67.6,160,0,1,2,10,67,138,4.06,2,25,6,50
"NYG",2018,2,0,13,255,67,3.806,2,33,44,75,220,1,0,6,59,98.6,35,2.06,0,10,3,24,298,50,5.96,0,16,25,64,160,1,0,0,0,95.4,138,5.52,1,2,6,47
"TAM",2018,14,1,14,279,65,4.2923,2,18,38,47.4,174,2,1,4,39,71.5,105,4.57,0,3,10,84,298,62,4.8065,3,24,31,77.4,198,1,1,1,3,90.9,100,3.33,2,29,6,51
"PHI",2019,11,1,10,255,66,3.8636,2,20,40,50,174,1,0,5,40,74.4,81,3.86,0,5,7,39,298,71,4.1972,0,27,48,56.3,224,1,0,1,7,76,74,3.36,0,4,6,89
"GNB",2021,3,0,30,353,59,5.9831,0,23,33,69.7,253,2,0,1,8,113.3,100,4,1,2,7,87,298,65,4.5846,3,25,40,62.5,231,2,1,4,26,87.2,67,3.19,2,5,4,86
"HOU",2019,4,1,10,264,62,4.2581,3,21,34,61.8,128,0,1,6,32,60.9,136,6.18,1,4,7,81,297,65,4.5692,4,24,34,70.6,203,0,0,3,29,89.3,94,3.36,1,32,6,35
"TEN",2018,9,0,28,340,69,4.9275,3,21,29,72.4,215,2,0,4,25,119.9,125,3.47,2,21,3,20,297,56,5.3036,3,21,32,65.6,225,2,1,5,18,96.2,72,3.79,0,6,6,52
"CIN",2018,5,1,27,332,58,5.7241,2,20,30,66.7,229,1,1,2,19,89.3,103,3.96,0,34,6,47,297,60,4.95,4,20,35,57.1,169,1,2,3,16,57.4,128,5.82,0,4,9,85
"CIN",2018,15,1,30,294,75,3.92,2,14,33,42.4,123,1,1,1,7,51.3,171,4.17,2,16.884236453202,9,85,297,59,5.0339,3,21,38,55.3,229,1,0,5,34,85.7,68,4.25,0,9,8,90
"NYG",2021,3,1,14,346,64,5.4063,2,24,35,68.6,246,0,0,2,20,90.9,100,3.7,1,33,8,53,296,59,5.0169,2,27,36,75,227,2,0,3,16,111.2,69,3.45,0,7,4,28
"HOU",2019,12,1,20,396,55,7.2,2,19,30,63.3,297,2,1,1,1,104.6,99,4.13,0,1,4,27,296,65,4.5538,0,16,25,64,121,0,0,1,8,76.9,175,4.49,2,16.884236453202,3,29
"LAC",2018,14,1,26,288,56,5.1429,0,19,29,65.5,203,1,0,2,17,99.8,85,3.4,1,2,6,38,295,62,4.7581,0,18,27,66.7,151,1,0,3,19,96.2,144,4.5,1,27,6,34
"LAC",2020,1,0,16,362,71,5.0986,0,16,30,53.3,207,0,0,2,1,75.4,155,3.97,1,24,6,35,295,67,4.403,3,23,36,63.9,173,0,1,3,20,66.1,122,4.36,1,32,7,44
"TAM",2019,15,0,38,495,73,6.7808,2,28,42,66.7,446,4,1,2,12,124.9,49,1.69,0,31,9,70,295,63,4.6825,4,24,43,55.8,250,0,2,2,10,54.4,45,2.5,2,8,2,10
"CHI",2020,2,1,17,304,64,4.75,3,18,28,64.3,169,2,2,4,21,78,135,4.22,0,27,5,48,295,62,4.7581,3,25,40,62.5,220,0,1,4,21,68.9,75,4.17,1,8,3,10
"LAR",2020,4,1,17,240,57,4.2105,2,25,32,78.1,182,1,0,2,18,103.1,58,2.52,1,3,1,5,295,66,4.4697,2,23,36,63.9,159,0,1,5,31,65.7,136,5.44,0,2,4,20
"DAL",2018,3,0,13,303,58,5.2241,4,19,34,55.9,137,1,2,5,31,54.5,166,8.74,0,6,7,55,295,67,4.403,0,16,26,61.5,182,2,0,2,10,109.8,113,2.9,1,24,10,67
"SFO",2019,1,0,31,256,60,4.2667,3,18,27,66.7,158,1,1,1,8,80.2,98,3.06,0,27,11,87,295,65,4.5385,5,20,36,55.6,174,1,3,3,20,45.4,121,4.65,0,34,8,87
"GNB",2018,1,1,24,370,59,6.2712,3,24,37,64.9,301,3,1,4,40,110.3,69,3.83,0,8,8,72,294,66,4.4545,2,23,35,65.7,155,0,0,4,16,77.2,139,5.15,1,33,5,35
"LAR",2018,14,0,6,214,61,3.5082,5,21,45,46.7,162,0,4,3,25,21.3,52,4,0,12,9,57,294,66,4.4545,4,16,30,53.3,100,1,3,1,10,33.3,194,5.54,0,26,6,45
"OAK",2018,15,0,16,297,59,5.0339,3,21,38,55.3,229,1,0,5,34,85.7,68,4.25,0,9,8,90,294,75,3.92,2,14,33,42.4,123,1,1,1,7,51.3,171,4.17,2,16.884236453202,9,85
"LAC",2020,7,1,39,484,77,6.2857,0,28,44,63.6,349,3,0,1,2,111.1,135,4.22,2,27,3,35,294,59,4.9831,2,14,27,51.9,154,2,0,5,19,96.7,140,5.19,1,33,6,55
"LAC",2018,15,0,29,407,67,6.0746,3,26,38,68.4,288,2,2,5,25,89,119,4.96,2,1,7,50,294,53,5.5472,0,24,34,70.6,234,2,0,2,9,110.3,60,3.53,2,10,10,66
"GNB",2018,10,1,31,377,55,6.8545,2,19,28,67.9,182,2,0,2,17,112.1,195,7.8,2,2,6,45,294,66,4.4545,3,23,37,62.2,163,0,1,6,50,66.6,131,5.7,0,3,3,10
"JAX",2020,3,1,13,318,63,5.0476,3,30,42,71.4,246,0,1,4,29,79,72,4.24,2,10,8,63,294,57,5.1579,0,18,20,90,156,2,0,1,4,133.3,138,3.83,2,21,6,51
"CAR",2018,17,0,33,374,68,5.5,0,18,30,60,263,2,0,1,5,111.5,111,3,2,22,2,10,294,51,5.7647,2,14,22,63.6,110,1,1,2,8,73.7,184,6.81,1,33,6,94
"TAM",2021,4,0,19,381,74,5.1486,0,22,43,51.2,261,0,0,1,8,70.8,120,4,1,29,7,74,294,54,5.4444,3,33,42,78.6,295,2,1,4,25,104.4,-1,-0.13,0,19,8,77
"NYG",2019,10,0,27,281,63,4.4603,3,26,40,65,258,4,0,6,50,121.7,23,1.35,0,10,6,62,294,61,4.8197,0,19,30,63.3,218,1,0,2,12,97.9,76,2.62,2,31,7,54
"IND",2020,10,0,34,430,69,6.2319,0,29,39,74.4,297,1,0,1,11,105.5,133,4.59,2,31,9,73,294,60,4.9,0,15,27,55.6,137,1,0,1,10,83.4,157,4.91,1,27,3,30
"LAC",2018,2,0,31,349,55,6.3455,0,23,27,85.2,240,3,0,2,16,143.2,109,4.19,1,34,6,45,293,60,4.8833,3,18,33,54.5,209,1,2,5,36,63.3,84,3.82,1,4,6,31
"DAL",2018,1,0,8,232,57,4.0702,2,19,29,65.5,138,0,0,6,32,81.1,94,4.27,1,4,10,85,293,61,4.8033,2,17,26,65.4,146,0,0,3,15,82.4,147,4.59,2,27,9,80
"PIT",2019,11,0,7,236,64,3.6875,5,23,44,52.3,178,1,4,4,43,36.3,58,3.63,0,9,6,41,293,68,4.3088,0,17,32,53.1,189,2,0,1,4,92.3,104,2.97,1,26,8,121
"BAL",2018,3,1,27,342,70,4.8857,0,25,40,62.5,265,1,0,2,12,91.4,77,2.75,2,32,7,52,293,61,4.8033,2,22,34,64.7,173,0,1,3,19,67.3,120,5,2,1,13,120
"GNB",2020,14,0,31,410,64,6.4063,0,26,33,78.8,290,3,0,0,0,133.6,120,3.87,1,30,12,68,293,59,4.9661,0,27,40,67.5,242,1,0,4,31,95.1,51,3.4,2,14,4,30
"MIN",2018,3,1,6,292,65,4.4923,4,40,55,72.7,278,1,1,4,18,83.6,14,2.33,0,17,6,59,292,63,4.6349,0,15,22,68.2,164,1,0,3,32,111.2,128,3.37,2,23,12,84
"HOU",2018,5,1,19,462,76,6.0789,3,33,44,75,374,1,1,1,1,98.2,88,2.84,0,30,5,25,292,60,4.8667,3,18,29,62.1,194,1,2,2,14,66.5,98,3.38,0,31,7,72
"IND",2018,15,1,23,370,66,5.6061,2,16,27,59.3,192,0,0,0,0,81.1,178,4.56,2,16.884236453202,6,55,292,64,4.5625,2,24,39,61.5,180,0,1,3,26,64.7,112,5.09,0,4,9,74
"CHI",2019,15,0,13,415,83,5,4,29,53,54.7,319,1,2,3,15,64.5,96,3.56,0,33,4,35,292,58,5.0345,0,16,33,48.5,192,1,0,1,11,78.2,100,4.17,2,1,4,30
"TEN",2019,3,0,7,340,75,4.5333,2,23,40,57.5,249,0,0,9,55,81.7,91,3.5,1,34,9,101,292,50,5.84,0,20,30,66.7,204,2,0,0,0,108.2,88,4.4,0,7,4,30
"BUF",2018,3,0,27,292,63,4.6349,0,15,22,68.2,164,1,0,3,32,111.2,128,3.37,2,23,12,84,292,65,4.4923,4,40,55,72.7,278,1,1,4,18,83.6,14,2.33,0,17,6,59
"DEN",2020,12,1,3,112,43,2.6047,4,1,9,11.1,12,0,2,1,1,0,100,3.03,0,28,2,10,292,63,4.6349,2,9,16,56.3,63,0,1,3,15,43.2,229,5.2,4,16.884236453202,5,35
"LAC",2020,11,1,34,376,78,4.8205,2,37,49,75.5,347,3,0,3,19,116.5,29,1.12,0,34,9,78,292,55,5.3091,2,15,30,50,196,2,1,1,9,80.6,96,4,2,1,8,88
"IND",2019,13,1,17,391,67,5.8358,4,25,40,62.5,309,1,2,3,10,74.9,82,3.42,1,1,6,40,292,58,5.0345,3,17,22,77.3,138,2,0,6,44,131.2,154,5.13,1,29,3,33
"PIT",2020,7,0,27,362,74,4.8919,4,32,49,65.3,268,2,3,0,0,67.4,94,3.76,1,2,8,69,292,56,5.2143,0,18,31,58.1,210,2,0,2,10,101.5,82,3.57,1,3,7,73
"KAN",2018,17,1,35,409,54,7.5741,2,16,27,59.3,310,2,1,0,0,108.6,99,3.67,2,33,4,50,292,65,4.4923,5,24,33,72.7,165,0,2,3,20,60.8,127,4.38,0,31,4,22
"LAR",2020,16,0,9,334,75,4.4533,2,24,43,55.8,216,0,1,3,18,61.6,118,4.07,0,31,5,45,292,61,4.7869,0,20,32,62.5,197,1,0,5,28,93.9,95,3.96,1,1,5,31
"TEN",2018,16,1,25,291,55,5.2909,0,17,25,68,192,1,0,3,19,107.2,99,3.67,1,33,2,10,292,59,4.9492,3,13,23,56.5,131,1,2,2,22,55.2,161,4.74,0,25,8,49
"JAX",2019,7,0,27,460,78,5.8974,0,15,32,46.9,244,1,0,2,11,84.8,216,4.91,0,16.884236453202,11,130,291,65,4.4769,5,22,43,51.2,258,1,3,2,18,50.1,33,1.65,1,7,6,50
"SFO",2020,15,0,33,458,81,5.6543,5,26,43,60.5,308,3,2,2,11,87.3,150,4.17,1,21,4,39,291,58,5.0172,0,20,34,58.8,204,2,0,2,17,97.8,87,3.95,2,4,5,58
"CAR",2020,15,0,16,364,65,5.6,2,21,35,60,249,0,0,3,9,82.8,115,4.26,1,33,7,66,291,61,4.7705,0,20,29,69,96,1,0,5,47,91.6,195,7.22,2,33,5,50
"CIN",2019,15,1,13,315,63,5,6,17,31,54.8,151,1,4,0,0,39.2,164,5.13,0,27,5,25,291,63,4.619,0,15,29,51.7,116,2,0,2,12,86.6,175,5.47,1,27,4,30
"LAC",2020,13,1,0,258,71,3.6338,3,26,53,49.1,188,0,2,3,21,43.7,70,4.67,0,14,5,30,291,66,4.4091,0,14,22,63.6,126,2,0,1,4,110,165,3.84,2,16.884236453202,3,15
"PIT",2020,1,0,26,349,64,5.4531,2,21,32,65.6,208,3,0,2,21,117.8,141,4.7,0,29,3,21,291,64,4.5469,3,26,41,63.4,262,2,2,3,17,79.2,29,1.45,0,7,4,25
"WAS",2018,16,0,16,292,59,4.9492,3,13,23,56.5,131,1,2,2,22,55.2,161,4.74,0,25,8,49,291,55,5.2909,0,17,25,68,192,1,0,3,19,107.2,99,3.67,1,33,2,10
"ARI",2018,17,0,24,198,64,3.0938,3,18,34,52.9,113,1,0,6,36,74.3,85,3.54,0,1,3,20,291,61,4.7705,2,12,21,57.1,109,1,1,6,43,75.9,182,5.35,2,25,1,10
"SFO",2019,15,1,22,313,62,5.0484,3,22,34,64.7,193,1,0,1,7,90.3,120,4.44,1,33,7,67,290,61,4.7541,2,25,39,64.1,201,2,0,2,9,95,89,4.45,1,7,11,98
"ARI",2021,6,0,37,352,69,5.1014,0,20,30,66.7,208,4,0,2,21,129,144,3.89,0,22,5,45,290,55,5.2727,4,20,31,64.5,217,2,1,5,23,96.2,73,3.84,0,6,9,88
"DEN",2018,9,1,17,348,64,5.4375,2,26,42,61.9,273,1,0,2,17,90.4,75,3.75,1,7,8,50,290,61,4.7541,0,17,24,70.8,192,2,0,4,21,125.9,98,2.97,0,28,7,60
"SEA",2020,13,1,12,327,70,4.6714,3,27,43,62.8,216,1,1,5,47,78,111,5.05,0,4,6,41,290,55,5.2727,2,13,22,59.1,100,1,1,2,5,67.4,190,6.13,1,30,6,35
"BUF",2021,3,1,43,481,77,6.2468,0,33,44,75,359,4,0,0,0,128.9,122,3.7,1,28,5,30,290,50,5.8,4,14,24,58.3,212,2,2,1,0,80.6,78,3.12,1,2,5,38
"NWE",2018,16,1,24,390,73,5.3425,4,13,25,52,117,1,2,1,9,46.4,273,5.81,2,16.884236453202,5,49,289,59,4.8983,4,20,41,48.8,217,1,2,0,0,52.6,72,4,0,8,3,29
"CHI",2020,4,1,11,269,59,4.5593,2,26,42,61.9,241,1,1,1,8,76.4,28,1.75,0,9,8,103,289,68,4.25,0,16,29,55.2,186,1,0,1,4,86.9,103,2.71,0,23,8,76
"LAR",2020,15,1,20,303,56,5.4107,2,22,34,64.7,189,2,1,3,20,89,114,6,0,6,5,43,289,64,4.5156,0,22,31,71,196,1,0,2,11,99.8,93,3,1,30,6,61
"LAC",2018,5,1,26,412,59,6.9831,0,22,27,81.5,333,2,0,1,6,143.4,79,2.55,1,30,9,82,289,49,5.898,3,24,33,72.7,248,1,1,3,20,94,41,3.15,0,12,7,55
"DAL",2019,15,1,44,475,68,6.9853,0,15,23,65.2,212,2,0,0,0,123.8,263,5.84,3,16.884236453202,4,16,289,68,4.25,2,34,52,65.4,267,2,1,2,22,84.5,22,1.57,1,13,5,29
"CAR",2019,2,1,14,352,73,4.8219,2,25,51,49,313,0,0,3,20,70.1,39,2.05,0,6,5,50,289,59,4.8983,0,16,25,64,189,1,0,3,19,103.4,100,3.23,1,30,12,66
"TEN",2019,2,1,17,243,56,4.3393,0,19,28,67.9,119,1,0,4,35,93.5,124,5.17,1,1,5,75,288,65,4.4308,3,17,28,60.7,121,3,1,3,25,95.2,167,4.91,0,25,8,65
"MIN",2021,5,1,19,384,64,6,3,25,34,73.5,264,1,1,2,11,94.6,120,4.29,0,32,7,74,288,63,4.5714,3,21,35,60,180,0,1,4,23,64.3,108,4.5,1,1,3,30
"ATL",2019,16,1,24,518,73,7.0959,3,32,45,71.1,383,1,2,1,1,85.8,135,5,2,33,9,64,288,59,4.8814,2,14,32,43.8,173,1,0,3,15,73.4,115,4.79,0,1,6,36
"DEN",2020,6,0,18,299,63,4.746,3,10,24,41.7,164,0,2,2,25,34.9,135,3.65,0,22,2,20,288,56,5.1429,4,19,27,70.4,171,0,2,4,24,60,117,4.68,1,2,1,4
"CLE",2020,15,0,20,392,63,6.2222,0,27,32,84.4,286,2,0,1,11,126.2,106,3.53,1,29,6,60,288,54,5.3333,0,19,32,59.4,214,0,0,1,7,80.3,74,3.52,0,5,2,25
"CIN",2018,14,0,21,295,62,4.7581,0,18,27,66.7,151,1,0,3,19,96.2,144,4.5,1,27,6,34,288,56,5.1429,0,19,29,65.5,203,1,0,2,17,99.8,85,3.4,1,2,6,38
"CAR",2018,6,0,17,350,59,5.9322,4,27,40,67.5,269,2,1,1,6,93.2,81,4.5,0,8,8,55,288,67,4.2985,0,21,36,58.3,156,2,0,3,7,88.1,132,4.71,0,32,5,43
"NYG",2018,14,0,40,402,63,6.381,2,14,27,51.9,175,3,1,2,22,97.3,227,6.68,1,25,2,18,288,57,5.0526,4,17,30,56.7,204,1,3,5,29,53.2,84,3.82,1,4,15,135
